Date,ID,Date,FCO2 µmol m-2 s-1,FCO2 uncertainty µmol m-2 s-1,PAR µmol m-2 s-1,PAR StD µmol m-2 s-1,AirT,Timestamp_rounded,AirRH,PAR,SW_in,SW_out,LW_in,LW_out,NR01_T,Rain_Tot,WS_ms_S_WVT,WindDir_D1_WVT
2018-02-01 19:58:53,AST2P1,01-Feb-2018 19:58:53,-2.5311,0.37492,235.5815,32.9912,14.22,2018-02-01 20:00:00,66.57,471.4,181.0915,32.9401,380.5782,384.6934,15.0505,0.0,2.018,258.5
2018-03-07 19:41:05,AST2P1,07-Mar-2018 19:41:05,0.045711,0.030617,689.9424,124.3867,13.74,2018-03-07 19:30:00,43.25,1296.0,570.6882,121.4666,293.259,389.8107,14.8123,0.0,5.514,268.5
2018-02-01 19:53:13,AST2P1,01-Feb-2018 19:53:13,4.1758,0.62258,4.7968,12.6911,14.22,2018-02-01 20:00:00,66.57,471.4,181.0915,32.9401,380.5782,384.6934,15.0505,0.0,2.018,258.5
2018-02-01 19:44:56,AST2P1,01-Feb-2018 19:44:56,4.3152,0.65968,1.3082,2.8456,15.2,2018-02-01 19:30:00,59.44,842.0,331.812,62.1279,379.4131,393.1966,16.0629,0.0,2.445,257.4
2018-02-01 19:39:14,AST2P1,01-Feb-2018 19:39:14,4.3925,0.67861,5.2465,11.9005,15.2,2018-02-01 19:30:00,59.44,842.0,331.812,62.1279,379.4131,393.1966,16.0629,0.0,2.445,257.4
2018-02-01 19:33:11,AST2P1,01-Feb-2018 19:33:11,-2.0786,0.37044,245.8962,36.9425,15.2,2018-02-01 19:30:00,59.44,842.0,331.812,62.1279,379.4131,393.1966,16.0629,0.0,2.445,257.4
2018-02-01 19:29:22,AST2P1,01-Feb-2018 19:29:22,-2.6526,0.51105,240.3848,15.5872,15.2,2018-02-01 19:30:00,59.44,842.0,331.812,62.1279,379.4131,393.1966,16.0629,0.0,2.445,257.4
2018-03-07 18:07:59,AST2P1,07-Mar-2018 18:07:59,-5.1816,0.76203,901.5573,24.8831,13.91,2018-03-07 18:00:00,45.56,1587.0,695.3019,146.4005,292.8372,400.4524,15.2333,0.0,4.866,262.1
2018-03-07 18:03:11,AST2P1,07-Mar-2018 18:03:11,-4.8878,0.76032,970.5058,45.8851,13.91,2018-03-07 18:00:00,45.56,1587.0,695.3019,146.4005,292.8372,400.4524,15.2333,0.0,4.866,262.1
2018-02-01 19:21:40,AST2P1,01-Feb-2018 19:21:40,-3.9276,0.59499,333.5555,143.392,15.2,2018-02-01 19:30:00,59.44,842.0,331.812,62.1279,379.4131,393.1966,16.0629,0.0,2.445,257.4
